User_ID,Session_ID,Timestamp,Page_URL,Time_Spent_seconds,Clicks,Browser_Type,Device_Type,Article_Category,Article_Name,Interacted_Elements,Video_Views,Geo_Location
U002,569615c0-9b63-4138-b797-ab49357cacbe,2024-09-11 01:30:12,https://crossdevblog.com/article/94,20,373,Chrome,Mobile,Tecnologia,Avances en biotecnologÃ­a,0,links,"USA, New York"
U003,30674bbe-dfc2-4b36-ae6d-1937819ea19a,2024-07-03 02:19:16,https://crossdevblog.com/article/24,6,159,Firefox,Mobile,Tecnologia,Startups tecnolÃ³gicas a seguir en 2024,2,forms,"Australia, Sydney"
U002,4042c217-ed4a-4cee-a813-5e5e6192769a,2024-01-15 15:56:49,https://crossdevblog.com/article/17,13,473,Firefox,Desktop,Ciencia,CÃ³mo la actividad humana afecta a los ecosistemas,0,buttons,"USA, New York"
U003,eb73fb2c-cac2-4b6c-bce1-2a48b0efbd21,2024-01-03 08:34:13,https://crossdevblog.com/article/7,9,380,Safari,Tablet,Negocios,Crowdfunding: Una nueva era de financiamiento empresarial,3,images,"USA, New York"
U002,66dc98d8-cc3e-4232-9139-229dc8200b0d,2024-02-19 06:16:26,https://crossdevblog.com/article/62,15,360,Chrome,Mobile,Deportes,Los 10 mejores momentos del tenis del aÃ±o,3,multimedia,"USA, New York"
U004,b4ff1bed-d75e-4778-8ac6-cfc90d2eba62,2024-07-06 04:21:45,https://crossdevblog.com/article/61,1,74,Safari,Tablet,Politica,Reformas electorales: Â¿QuÃ© sigue?,0,multimedia,"Canada, Toronto"
U001,3f0b2da1-75ed-448e-8569-fe4a9d58115a,2024-10-01 15:55:42,https://crossdevblog.com/article/95,17,480,Edge,Mobile,Entretenimiento,CÃ³mo han cambiado los programas de televisiÃ³n en la Ãºltima dÃ©cada,0,videos,"USA, New York"
U003,db2deb08-ad92-49e0-97bd-bc7626f28045,2024-03-11 09:58:58,https://crossdevblog.com/article/28,1,220,Safari,Desktop,Entretenimiento,CÃ³mo los videojuegos se estÃ¡n convirtiendo en entretenimiento convencional,4,images,"Germany, Berlin"
U005,55055eb4-9eac-48af-afad-b6e92a408c10,2024-11-15 23:39:42,https://crossdevblog.com/article/51,19,143,Firefox,Desktop,Deportes,CÃ³mo los deportes impactan la salud mental,0,buttons,"Australia, Sydney"
U005,654811dd-6264-4ded-bb90-e6152fa1e586,2024-06-07 16:57:36,https://crossdevblog.com/article/91,1,143,Firefox,Tablet,Tecnologia,El papel de la Ã©tica en el desarrollo de IA,0,buttons,"Colombia, Bogota"
U003,7e79dd4c-966f-4118-83e0-a6beebba0b30,2024-07-01 18:00:33,https://crossdevblog.com/article/99,17,565,Safari,Tablet,Deportes,AnalÃ­tica deportiva: El cambio de juego,0,forms,"Canada, Toronto"
U003,d0692e80-b339-49a5-9c07-1f7001514f2b,2024-01-23 17:19:12,https://crossdevblog.com/article/88,15,549,Chrome,Tablet,Tecnologia,RobÃ³tica en el cuidado de la salud,3,multimedia,"Germany, Berlin"
U002,8c67a116-b4af-4a50-8c70-a65630d3d915,2024-04-14 23:22:20,https://crossdevblog.com/article/34,14,149,Safari,Mobile,Deportes,Rompiendo rÃ©cords en atletismo,5,multimedia,"Colombia, Bogota"
U002,971ea4e5-9c34-493f-801a-10351933da03,2024-05-07 09:27:37,https://crossdevblog.com/article/14,15,345,Firefox,Mobile,Entretenimiento,Las 10 mejores pelÃ­culas para ver en 2024,5,forms,"Australia, Sydney"
U003,bb810bd5-c86a-461b-ae73-77ea933f522c,2024-12-19 00:59:36,https://crossdevblog.com/article/70,15,441,Firefox,Tablet,Ciencia,Avances en la tecnologÃ­a mÃ©dica,2,multimedia,"UK, London"
U004,40a4d87a-368a-461f-b673-976feb03a4c9,2024-05-21 22:37:08,https://crossdevblog.com/article/19,1,525,Chrome,Mobile,Negocios,Fusiones y adquisiciones en el sector tecnolÃ³gico,4,buttons,"UK, London"
U003,145db061-5103-47a3-9e49-5ce749b11e85,2024-03-07 13:25:46,https://crossdevblog.com/article/21,10,589,Safari,Tablet,Entretenimiento,La evoluciÃ³n de las plataformas de streaming,0,links,"Germany, Berlin"
U005,961146c0-dca9-40a2-8c8f-32a7c166a11c,2024-12-06 20:46:53,https://crossdevblog.com/article/31,15,303,Edge,Mobile,Tecnologia,IA: Dando forma al futuro,2,buttons,"Canada, Toronto"
U002,2b15f0f0-aaaf-4ca6-9b88-2ff4651bcecd,2024-09-11 18:00:15,https://crossdevblog.com/article/66,4,256,Firefox,Mobile,Entretenimiento,Los mejores documentales que debes ver,1,images,"Canada, Toronto"
U004,8a77f288-9554-44e9-8b08-440324b6741f,2024-06-10 02:44:19,https://crossdevblog.com/article/40,9,552,Safari,Tablet,Politica,Una mirada a los movimientos polÃ­ticos globales,0,multimedia,"Australia, Sydney"
U001,f449ad7d-c49d-4dbe-ade7-b95400b9f523,2024-07-13 09:58:37,https://crossdevblog.com/article/75,20,359,Safari,Mobile,Tecnologia,Amenazas de ciberseguridad en 2024,4,links,"Colombia, Bogota"
U002,c8b9cc15-ec30-486b-a25b-ef68b52796ad,2024-05-05 00:53:23,https://crossdevblog.com/article/19,8,394,Edge,Desktop,Negocios,CÃ³mo crear una estrategia empresarial ganadora,1,images,"Germany, Berlin"
U001,005db7ac-5c42-46dd-bf00-4b147a30463e,2024-11-16 21:15:48,https://crossdevblog.com/article/3,14,350,Safari,Tablet,Entretenimiento,El impacto de las redes sociales en las celebridades,3,videos,"Colombia, Bogota"
U002,497240cd-ebbf-4106-a7d5-4a1f28d664d7,2024-06-21 09:19:10,https://crossdevblog.com/article/74,19,395,Chrome,Mobile,Negocios,Fusiones y adquisiciones en el sector tecnolÃ³gico,5,images,"USA, New York"
U005,fe6e5233-0060-4aed-ac18-9b989c056bd1,2024-07-02 17:40:26,https://crossdevblog.com/article/83,5,473,Safari,Mobile,Tecnologia,Autos autÃ³nomos: Una nueva era en el transporte,5,links,"Colombia, Bogota"
U002,14fc28da-b412-4b6c-8011-771d29b10fa6,2024-03-05 01:51:29,https://crossdevblog.com/article/15,1,309,Chrome,Mobile,Salud,Conciencia sobre la salud mental en 2024,3,links,"Australia, Sydney"
U001,8f4e80a7-3b72-4128-a207-69739bdb0719,2024-04-21 03:46:31,https://crossdevblog.com/article/84,16,367,Chrome,Mobile,Salud,CÃ³mo mantenerse saludable mientras viajas,0,links,"Canada, Toronto"
U003,09379c5a-229d-4ae1-af54-deee2844f0cd,2024-01-15 15:29:46,https://crossdevblog.com/article/1,8,40,Chrome,Mobile,Politica,El papel de las mujeres en la polÃ­tica,3,forms,"Canada, Toronto"
U003,ffc035fd-cac8-4f9b-8b5b-ecb849a8594b,2024-11-19 08:11:52,https://crossdevblog.com/article/66,13,409,Edge,Tablet,Deportes,Juegos OlÃ­mpicos 2024: QuÃ© esperar,2,videos,"Australia, Sydney"
U005,96059173-f896-4e2a-9b48-cb7a3de0158e,2024-09-17 07:56:09,https://crossdevblog.com/article/72,10,595,Chrome,Mobile,Politica,Tensiones geopolÃ­ticas en el Medio Oriente,3,buttons,"Germany, Berlin"
U004,8ecb2b59-742e-45f8-8642-96f7301aaa83,2024-07-29 23:12:51,https://crossdevblog.com/article/88,13,538,Edge,Desktop,Salud,La importancia de la atenciÃ³n preventiva,5,multimedia,"USA, New York"
U003,1ca71bc9-3e07-436d-9dd3-ad3d1e981f14,2024-07-30 11:29:05,https://crossdevblog.com/article/60,6,412,Safari,Desktop,Salud,Los beneficios de los exÃ¡menes mÃ©dicos regulares,2,forms,"Australia, Sydney"
U003,78f3b035-a116-44b7-9814-9124418e7b16,2024-08-08 00:20:48,https://crossdevblog.com/article/72,11,286,Chrome,Desktop,Negocios,PrÃ¡cticas empresariales sostenibles para 2024,3,forms,"Canada, Toronto"
U001,fcd5ec66-f042-41af-8961-b28ef3ad0b22,2024-12-27 21:34:02,https://crossdevblog.com/article/30,1,409,Edge,Mobile,Tecnologia,Amenazas de ciberseguridad en 2024,5,forms,"Germany, Berlin"
U005,eb3c2235-18ac-4aac-a11b-8078444a6cff,2024-01-22 08:18:32,https://crossdevblog.com/article/69,9,536,Safari,Mobile,Ciencia,El papel de la fÃ­sica en la tecnologÃ­a moderna,3,forms,"Canada, Toronto"
