User_ID,Session_ID,Timestamp,Page_URL,Time_Spent_seconds,Clicks,Browser_Type,Device_Type,Article_Category,Article_Name,Interacted_Elements,Video_Views,Geo_Location
U004,791f3041-daf6-4e4e-bf4b-1d57edb16f81,2024-08-26 20:38:58,https://crossdevblog.com/article/45,3,37,Edge,Mobile,Entretenimiento,El futuro de la realidad virtual en el entretenimiento,0,buttons,"USA, New York"
U002,9fa07c40-0036-4513-9e1b-a1abec6dd5cc,2024-06-19 10:03:15,https://crossdevblog.com/article/18,14,555,Chrome,Tablet,Negocios,Tendencias de capital de riesgo a seguir,0,forms,"Germany, Berlin"
U002,ec9e2011-dc24-4b13-9a99-5965a3c7ab14,2024-08-06 10:40:50,https://crossdevblog.com/article/39,2,29,Chrome,Desktop,Salud,Los beneficios de una dieta basada en plantas,2,videos,"Germany, Berlin"
U005,994eba4d-30cb-4ad2-bcaf-42362ec8dc3c,2024-06-09 01:29:34,https://crossdevblog.com/article/98,1,122,Chrome,Mobile,Salud,Los Ãºltimos avances en la investigaciÃ³n del cÃ¡ncer,5,buttons,"USA, New York"
U004,9ccd4c3f-5c65-412d-9294-f5fe50564bf2,2024-10-24 01:28:16,https://crossdevblog.com/article/8,9,537,Edge,Tablet,Negocios,El futuro del trabajo remoto,4,videos,"Canada, Toronto"
U005,a4d897e6-57d0-4f55-a654-2ae31f82f1a4,2024-05-08 10:31:57,https://crossdevblog.com/article/39,4,23,Firefox,Tablet,Politica,LÃ­deres emergentes del maÃ±ana,1,videos,"Canada, Toronto"
U003,b92a1084-768f-40cb-a66e-c65c72ba1b94,2024-10-03 01:26:06,https://crossdevblog.com/article/69,1,529,Chrome,Desktop,Ciencia,Descubrimientos en el campo de la paleontologÃ­a,3,links,"UK, London"
U005,a99078c9-43ef-4606-82a9-b6e9033c5c7f,2024-11-05 17:18:46,https://crossdevblog.com/article/68,15,291,Chrome,Desktop,Politica,El papel de las redes sociales en la polÃ­tica,4,images,"USA, New York"
U002,bdddf4de-3d65-4cfc-980a-f46d2431df6f,2024-04-22 22:39:33,https://crossdevblog.com/article/95,7,241,Safari,Mobile,Politica,Tensiones geopolÃ­ticas en el Medio Oriente,2,links,"Colombia, Bogota"
U002,f997616c-015d-4bd9-9e69-7d092096a499,2024-06-12 00:16:56,https://crossdevblog.com/article/80,14,452,Firefox,Desktop,Ciencia,La bÃºsqueda de vida extraterrestre,2,buttons,"USA, New York"
U005,e2ac86d0-9411-49d9-b63d-615f26d75bce,2024-02-05 14:48:45,https://crossdevblog.com/article/4,4,24,Edge,Desktop,Ciencia,Entendiendo la fÃ­sica cuÃ¡ntica,0,buttons,"Germany, Berlin"
U001,fca4c419-d40d-4844-bd84-6fc04ff65354,2024-12-13 11:31:50,https://crossdevblog.com/article/22,17,439,Edge,Mobile,Entretenimiento,La evoluciÃ³n de las plataformas de streaming,2,multimedia,"Germany, Berlin"
U001,dc41ed68-36de-4fd5-b01f-25ffc7ab7d01,2024-02-06 02:50:57,https://crossdevblog.com/article/35,3,481,Safari,Mobile,Politica,Descifrando las nuevas leyes fiscales,0,multimedia,"Colombia, Bogota"
U003,9f9e71f7-7f6c-4a43-b717-e495ea24bee6,2024-10-17 05:01:35,https://crossdevblog.com/article/38,16,252,Edge,Tablet,Negocios,DesafÃ­os de la cadena de suministro global,0,buttons,"Colombia, Bogota"
U005,e1ea1b87-6b71-43a9-8df3-dfa33cecf1aa,2024-03-27 03:34:58,https://crossdevblog.com/article/35,20,544,Firefox,Desktop,Politica,Reformas electorales: Â¿QuÃ© sigue?,4,videos,"Australia, Sydney"
U001,2aab4136-e6b7-4f2f-85d5-a695840ea2c3,2024-10-12 04:37:01,https://crossdevblog.com/article/14,17,442,Chrome,Tablet,Tecnologia,RobÃ³tica en el cuidado de la salud,1,images,"USA, New York"
U004,2e3e9705-64aa-4750-a6cc-1cd7ec369e0c,2024-06-15 06:01:30,https://crossdevblog.com/article/37,13,114,Safari,Mobile,Salud,Manejo de la diabetes a travÃ©s de la dieta,3,links,"Germany, Berlin"
U004,61ab6ac8-dc05-40cb-8f4b-0bcfdfbf1a18,2024-05-12 04:33:20,https://crossdevblog.com/article/93,17,104,Safari,Mobile,Entretenimiento,Los mejores documentales que debes ver,4,buttons,"Germany, Berlin"
U001,c5ba2cc7-941a-4f78-9b3c-1c1625f63ba1,2024-08-12 20:45:09,https://crossdevblog.com/article/71,17,397,Chrome,Desktop,Negocios,Navegando las regulaciones comerciales internacionales,0,videos,"Colombia, Bogota"
U004,2e4f54f6-c108-42d3-9c4b-6cdc16551800,2024-01-14 11:44:09,https://crossdevblog.com/article/55,2,390,Safari,Mobile,Deportes,AnalÃ­tica deportiva: El cambio de juego,5,images,"Germany, Berlin"
