User_ID,Session_ID,Timestamp,Page_URL,Time_Spent_seconds,Clicks,Browser_Type,Device_Type,Article_Category,Article_Name,Interacted_Elements,Video_Views,Geo_Location
U003,ce282273-0300-4e52-b731-6b6c875e2b1a,2024-11-03 03:28:21,https://crossdevblog.com/article/20,15,218,Safari,Desktop,Politica,Una mirada a los movimientos polÃ­ticos globales,1,videos,"USA, New York"
U003,2a072492-22bb-4b3a-8000-c7cd48f205e9,2024-05-26 10:37:53,https://crossdevblog.com/article/60,5,249,Edge,Mobile,Entretenimiento,La evoluciÃ³n de las plataformas de streaming,5,multimedia,"Canada, Toronto"
U004,a2bc4832-79e0-4961-b1ed-daf8c5b907f5,2024-12-08 04:44:01,https://crossdevblog.com/article/76,10,323,Safari,Tablet,Entretenimiento,Las estrellas mÃ¡s grandes de Hollywood en 2024,2,forms,"Australia, Sydney"
U005,9f781869-c90d-4a48-b1d3-179ee3f6f8d6,2024-04-11 04:05:11,https://crossdevblog.com/article/32,12,85,Firefox,Desktop,Tecnologia,IA: Dando forma al futuro,4,multimedia,"Australia, Sydney"
U001,79ec436e-ebfd-4e93-9646-c9db1ac67214,2024-02-02 01:37:33,https://crossdevblog.com/article/6,11,544,Chrome,Desktop,Salud,Conciencia sobre la salud mental en 2024,3,buttons,"Canada, Toronto"
U005,61e4371e-46fe-48d1-a13f-33ecb01c6f3d,2024-01-23 08:04:23,https://crossdevblog.com/article/23,17,74,Chrome,Desktop,Politica,Tensiones geopolÃ­ticas en el Medio Oriente,3,videos,"USA, New York"
U003,c7f5f37d-b2a1-4a58-8f36-86780ada3141,2024-04-01 23:11:25,https://crossdevblog.com/article/57,9,54,Edge,Desktop,Ciencia,Explorando el ocÃ©ano profundo: Nuevos descubrimientos,3,videos,"Canada, Toronto"
U005,aa445428-e17d-40af-9eb7-802c623e4302,2024-10-29 09:10:15,https://crossdevblog.com/article/57,13,595,Chrome,Desktop,Tecnologia,Startups tecnolÃ³gicas a seguir en 2024,1,images,"Colombia, Bogota"
U001,62a6a7d4-4112-46d8-abcb-373494db7b7f,2024-05-26 00:28:30,https://crossdevblog.com/article/66,14,547,Safari,Desktop,Entretenimiento,Predicciones de la temporada de premios 2024,0,links,"Australia, Sydney"
U003,c805ed5e-8dd3-4137-9fdd-4f629d6b114a,2024-11-13 00:13:23,https://crossdevblog.com/article/19,2,62,Firefox,Desktop,Negocios,CÃ³mo fomentar la innovaciÃ³n en el lugar de trabajo,3,videos,"Colombia, Bogota"
U005,e00e0640-38d5-4e4c-8a5a-264610384016,2024-08-16 03:16:11,https://crossdevblog.com/article/43,17,66,Edge,Desktop,Deportes,El papel de los aficionados en el Ã©xito del equipo,0,images,"Germany, Berlin"
U002,a943c013-686d-4e3f-a09a-5423344fda62,2024-08-22 09:20:49,https://crossdevblog.com/article/65,19,176,Edge,Desktop,Salud,La conexiÃ³n entre la salud mental y fÃ­sica,3,multimedia,"Germany, Berlin"
U003,dd334d83-56d6-4a60-894c-40ff7fb90ffe,2024-08-30 16:39:47,https://crossdevblog.com/article/68,5,336,Chrome,Mobile,Ciencia,Fuentes de energÃ­a renovable del futuro,0,videos,"Colombia, Bogota"
U001,99c5a54a-2a37-4494-a862-211d8fca806b,2024-01-23 09:54:18,https://crossdevblog.com/article/15,9,117,Firefox,Desktop,Salud,TÃ©cnicas de mindfulness para reducir el estrÃ©s,2,forms,"Colombia, Bogota"
U001,a5f3ece2-ce63-4bea-8163-22b186d12d87,2024-10-30 23:57:39,https://crossdevblog.com/article/71,11,219,Firefox,Mobile,Politica,El papel de las mujeres en la polÃ­tica,4,multimedia,"Canada, Toronto"
U005,0cfeb9ad-6d62-45b3-892f-af45d09db3a3,2024-08-24 05:55:37,https://crossdevblog.com/article/10,11,209,Chrome,Desktop,Ciencia,La ciencia detrÃ¡s de los desastres naturales,5,forms,"UK, London"
U005,e3e96dd7-6cb7-4da4-9513-6667417e53bd,2024-11-02 07:00:28,https://crossdevblog.com/article/29,18,281,Edge,Tablet,Negocios,CÃ³mo fomentar la innovaciÃ³n en el lugar de trabajo,3,forms,"UK, London"
U003,e891401c-a761-4236-a5b3-0db9b7d4c23f,2024-07-12 07:09:42,https://crossdevblog.com/article/38,2,152,Safari,Desktop,Tecnologia,Hogares inteligentes: Â¿Conveniencia o riesgo de seguridad?,0,images,"Colombia, Bogota"
U001,8b0728af-80a8-4301-ab34-79fb65fd0ba3,2024-07-22 17:40:24,https://crossdevblog.com/article/62,11,493,Firefox,Tablet,Ciencia,Explorando el ocÃ©ano profundo: Nuevos descubrimientos,0,videos,"UK, London"
U001,2a1eace7-9be7-46b8-971f-ee44ce22c32a,2024-03-05 23:48:12,https://crossdevblog.com/article/56,2,322,Firefox,Tablet,Deportes,El auge de los deportes extremos,0,links,"Germany, Berlin"
U003,1307eb6a-fea2-4c10-84cd-977d61c63fc5,2024-11-23 20:55:16,https://crossdevblog.com/article/67,14,319,Safari,Mobile,Politica,Sanciones internacionales y guerras comerciales,4,images,"UK, London"
U004,2075e253-c651-419a-bfcb-2e1d9f520104,2024-04-16 20:43:04,https://crossdevblog.com/article/16,9,284,Chrome,Desktop,Ciencia,Cambio climÃ¡tico: CÃ³mo estÃ¡ afectando a la vida silvestre,0,images,"USA, New York"
U001,e9719f59-aec0-40e2-895c-10d073663d1a,2024-01-04 14:12:47,https://crossdevblog.com/article/63,13,433,Chrome,Mobile,Salud,Los beneficios de una dieta basada en plantas,5,multimedia,"Germany, Berlin"
U002,89b183d1-885c-4557-82b6-53fb3ec686b9,2024-11-19 14:59:03,https://crossdevblog.com/article/73,17,401,Chrome,Tablet,Negocios,La economÃ­a de trabajos temporales: Pros y contras,3,videos,"Germany, Berlin"
